DIVISION,average_min_distance,crime_count
SOUTHWEST,2.1655091872159895,8729
77TH STREET,1.7077101040938787,8669
SOUTHEAST,2.217804564847498,8151
HOLLENBECK,2.6302994180129065,6139
WILSHIRE,2.473077329463466,5406
HARBOR,3.891790823937586,5305
NEWTON,1.5683781813559128,5196
HOLLYWOOD,1.9488415514896167,4677
RAMPART,1.3652501212211796,4598
OLYMPIC,1.6888869547340741,4288
CENTRAL,0.9972380407551311,3399
VAN NUYS,2.933667868285249,3292
FOOTHILL,3.5483540951015113,3079
NORTH HOLLYWOOD,2.707046522883924,2421
NORTHEAST,3.755100033299768,2199
WEST VALLEY,2.772503767332064,1978
MISSION,3.8062795031532737,1948
PACIFIC,3.7129527499877946,1922
TOPANGA,2.989080034859173,1585
DEVONSHIRE,3.0087140132779813,829
WEST LOS ANGELES,2.726491570303159,747
